,id,nome,estado_sigla
947,948,Icaraíma,PR
948,949,São João do Arraial,PI
949,950,Sertãozinho,PB
950,951,Buíque,PE
951,952,Ouro Preto,MG
952,953,Marataízes,ES
953,954,Jaupaci,GO
954,955,Sapucaia,PA
955,956,Bom Despacho,MG
956,957,Tenente Portela,RS
957,958,Bragança Paulista,SP
958,959,Bom Jesus da Serra,BA
959,960,Tarrafas,CE
960,961,Campo Grande,MS
961,962,Marechal Thaumaturgo,AC
962,963,Entre Rios,SC
963,964,Cidelândia,MA
964,965,Tremedal,BA
965,966,Cianorte,PR
966,967,Indiara,GO
967,968,Coronel Bicaco,RS
968,969,Poções,BA
969,970,Macaparana,PE
970,971,Mulungu do Morro,BA
971,972,Missal,PR
972,973,Pirapemas,MA
973,974,Guaraqueçaba,PR
974,975,Brejão,PE
975,976,Flórida Paulista,SP
976,977,Nilo Peçanha,BA
977,978,Colniza,MT
978,979,Pedra Grande,RN
979,980,Adelândia,GO
980,981,Monte do Carmo,TO
981,982,Galvão,SC
982,983,Pirenópolis,GO
983,984,Coxilha,RS
984,985,Terra Santa,PA
985,986,Nova Guarita,MT
986,987,Capistrano,CE
987,988,Madre de Deus,BA
988,989,Mato Grosso,PB
989,990,Tutóia,MA
990,991,Pombos,PE
991,992,Itaocara,RJ
992,993,Colorado,RS
993,994,Urucará,AM
994,995,Bueno Brandão,MG
995,996,Roca Sales,RS
996,997,Santo André,SP
997,998,Caldeirão Grande do Piauí,PI
998,999,Vicente Dutra,RS
999,1000,Antônio Almeida,PI
